Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04 00:00:00-05:00,6.469952309291748,6.502388399382096,6.438122516389548,6.487534523010254,493729600,0.0,0.0
2010-01-05 00:00:00-05:00,6.5054204326985205,6.535431334694297,6.464495776339016,6.498751163482666,601904800,0.0,0.0
2010-01-06 00:00:00-05:00,6.498750781649927,6.524518006459451,6.388710274480441,6.395379543304443,552160000,0.0,0.0
2010-01-07 00:00:00-05:00,6.419022907092787,6.426601619993457,6.337174426716236,6.383554935455322,477131200,0.0,0.0
2010-01-08 00:00:00-05:00,6.375068556099712,6.426603005458869,6.337479750959573,6.42599630355835,447610800,0.0,0.0
2010-01-11 00:00:00-05:00,6.4508534808766544,6.45691645193882,6.318987098176308,6.369308948516846,462229600,0.0,0.0
2010-01-12 00:00:00-05:00,6.3414199412726955,6.359002965041932,6.257450206394068,6.296858310699463,594459600,0.0,0.0
2010-01-13 00:00:00-05:00,6.301406290202605,6.394166928990175,6.187121695995561,6.385678768157959,605892000,0.0,0.0
2010-01-14 00:00:00-05:00,6.369308902793951,6.379918697338857,6.3362661154800675,6.348694801330566,432894000,0.0,0.0
2010-01-15 00:00:00-05:00,6.394165339182687,6.4144762904097785,6.240775827778441,6.2425947189331055,594067600,0.0,0.0
2010-01-19 00:00:00-05:00,6.3153495145978304,6.523304571732189,6.28230753548071,6.518757343292236,730007600,0.0,0.0
2010-01-20 00:00:00-05:00,6.514816823289136,6.534217927786751,6.350817487911456,6.4184184074401855,612152800,0.0,0.0
2010-01-21 00:00:00-05:00,6.429028014684497,6.466314074940412,6.281397492836701,6.307467460632324,608154400,0.0,0.0
2010-01-22 00:00:00-05:00,6.268362647025878,6.290188533872167,5.97674061282392,5.994625568389893,881767600,0.0,0.0
2010-01-25 00:00:00-05:00,6.1389207498584595,6.2053082576227645,6.068591906265634,6.1558966636657715,1065699600,0.0,0.0
2010-01-26 00:00:00-05:00,6.243200182176697,6.47843814517302,6.141041571059542,6.242897033691406,1867110000,0.0,0.0
2010-01-27 00:00:00-05:00,6.270483849806761,6.383555421734495,6.048583976023566,6.301707744598389,1722568400,0.0,0.0
2010-01-28 00:00:00-05:00,6.212283381153977,6.229562044046705,6.023425827032115,6.041310787200928,1173502400,0.0,0.0
2010-01-29 00:00:00-05:00,6.095570253165585,6.12952207259852,5.767267742839599,5.822136402130127,1245952400,0.0,0.0
2010-02-01 00:00:00-05:00,5.831535679503755,5.941576185796544,5.799099590866408,5.903077125549316,749876400,0.0,0.0
2010-02-02 00:00:00-05:00,5.93884877793163,5.951277466092045,5.862153799242644,5.937332630157471,698342400,0.0,0.0
2010-02-03 00:00:00-05:00,5.916415677372357,6.068896186257943,5.893679936962846,6.039491176605225,615328000,0.0,0.0
2010-02-04 00:00:00-05:00,5.963705000900658,6.0134205567771915,5.807284386560759,5.821835517883301,757652000,0.0,0.0
2010-02-05 00:00:00-05:00,5.839418034149548,5.941576685949046,5.785458391754888,5.925206661224365,850306800,0.0,0.0
2010-02-08 00:00:00-05:00,5.932177936130613,5.998565844574879,5.880946644556868,5.884584426879883,478270800,0.0,0.0
2010-02-09 00:00:00-05:00,5.954306777545044,5.987046007923441,5.9036821893916285,5.9473347663879395,632886800,0.0,0.0
2010-02-10 00:00:00-05:00,5.938239543622535,5.959763491764896,5.888827957291887,5.914897918701172,370361600,0.0,0.0
2010-02-11 00:00:00-05:00,5.907624341503954,6.0552544619838,5.8827665626948615,6.022514820098877,550345600,0.0,0.0
2010-02-12 00:00:00-05:00,6.005539224166739,6.112548654859707,5.926419464304171,6.074352741241455,655468800,0.0,0.0
